,word,count
0,the,605014
1,and,578576
2,to,374172
3,a,370176
4,was,309151
5,is,230938
6,in,208823
7,very,175586
8,for,151773
9,we,149309
10,i,147912
11,great,144262
12,of,138567
13,place,108978
14,with,104185
15,it,101429
16,stay,86966
17,this,76171
18,you,73826
19,were,67209
20,our,63311
21,had,62048
22,location,61836
23,would,61305
24,at,59314
25,as,59050
26,apartment,57039
27,but,56335
28,my,54277
29,clean,51873
30,nice,49878
31,on,49712
32,that,49160
33,from,47358
34,so,46889
35,there,46442
36,are,45559
37,room,42875
38,boston,40906
39,easy,39306
40,an,38615
41,all,38578
42,not,38373
43,if,38143
44,everything,36955
45,close,36547
46,good,35791
47,us,35440
48,have,35213
49,recommend,35146
50,really,34946
51,be,34065
52,definitely,33769
53,walk,30007
54,boston.,29780
55,perfect,28870
56,comfortable,28865
57,house,28428
58,just,27364
59,host,27232
60,well,24979
61,also,24853
62,which,24805
63,she,24426
64,get,23236
65,super,22882
66,time,22856
67,when,22838
68,"clean,",22794
69,out,22359
70,here,22301
71,or,22169
72,her,21455
73,will,21452
74,highly,21390
75,-,21069
76,stay.,20973
77,about,20845
78,he,20734
79,me,20578
80,only,20354
81,has,20293
82,one,20252
83,space,20182
84,they,20057
85,home,19968
86,staying,19528
87,walking,19478
88,like,19185
89,made,18493
90,check,18289
91,wonderful,17940
92,location.,17579
93,no,17432
94,quiet,17387
95,again,17139
96,back,16982
97,even,16954
98,by,16388
99,bed,16349
